Date,Close,High,Low,Open,Volume
2025-11-26,6625.0,6750.0,6600.0,6650.0,6619200
2025-11-27,6975.0,7100.0,6500.0,6650.0,27499200
2025-11-28,7825.0,8075.0,7125.0,7200.0,108758300
2025-12-01,8525.0,8775.0,7900.0,7900.0,65067000
2025-12-02,8900.0,9325.0,8600.0,8625.0,70418200
2025-12-03,8975.0,9100.0,8625.0,9000.0,31027000
2025-12-04,9275.0,9450.0,8900.0,9100.0,28761900
2025-12-05,9400.0,9775.0,9300.0,9375.0,22524000
2025-12-08,9425.0,9550.0,9100.0,9400.0,12886200
2025-12-09,8975.0,9600.0,8925.0,9525.0,19145400
2025-12-10,8650.0,9050.0,7900.0,8975.0,81587000
2025-12-11,8475.0,8825.0,8375.0,8750.0,15328700
2025-12-12,8700.0,8950.0,8475.0,8550.0,13648800
2025-12-15,8725.0,9175.0,8500.0,8750.0,14330400
2025-12-16,9300.0,9400.0,8525.0,8725.0,18731300
2025-12-17,9275.0,9650.0,9150.0,9350.0,21374100
2025-12-18,8825.0,9375.0,8725.0,9325.0,17332400
2025-12-19,8850.0,9000.0,8550.0,8900.0,6962300
2025-12-22,8925.0,9400.0,8750.0,8975.0,19058100
2025-12-23,8750.0,9100.0,8700.0,9100.0,6804100
2025-12-24,8700.0,8875.0,8325.0,8700.0,9038200
2025-12-29,8650.0,8800.0,8550.0,8700.0,6835900
2025-12-30,8750.0,8900.0,8525.0,8650.0,5248100
2026-01-02,8500.0,8900.0,8400.0,8850.0,11785200
2026-01-05,7875.0,8525.0,7725.0,8525.0,34612400
2026-01-06,7750.0,8000.0,7675.0,7975.0,15217600
2026-01-07,7575.0,7875.0,7475.0,7800.0,15553800
2026-01-08,7550.0,7850.0,7525.0,7575.0,10972800
2026-01-09,7175.0,7550.0,7100.0,7550.0,16239900
2026-01-12,7100.0,7400.0,6875.0,7175.0,18014500
2026-01-13,7250.0,7300.0,6900.0,7100.0,8307300
2026-01-14,7950.0,8000.0,7050.0,7300.0,29585300
2026-01-15,7625.0,8000.0,7500.0,8000.0,18913800
2026-01-19,7975.0,8250.0,7550.0,7625.0,26719900
2026-01-20,7975.0,8225.0,7800.0,7825.0,14754900
2026-01-21,7600.0,8050.0,7600.0,8025.0,9263200
2026-01-22,7675.0,8050.0,7650.0,7675.0,14400700
2026-01-23,7900.0,7900.0,7400.0,7700.0,10523600
2026-01-26,7300.0,8000.0,7300.0,7975.0,12074900
2026-01-27,7325.0,7375.0,7150.0,7325.0,7586300
2026-01-28,6250.0,6700.0,6250.0,6250.0,27030300
2026-01-29,5950.0,6350.0,5325.0,5950.0,38623000
2026-01-30,5825.0,6300.0,5700.0,6100.0,21999900
2026-02-02,4980.0,5825.0,4970.0,5825.0,35234700
2026-02-03,6150.0,6200.0,4700.0,4940.0,27326800
2026-02-04,5975.0,6175.0,5825.0,6150.0,15953800
2026-02-05,5975.0,6150.0,5900.0,6025.0,7757000
2026-02-06,5950.0,6050.0,5550.0,5725.0,9368100
2026-02-09,6075.0,6100.0,5850.0,6050.0,12101900
2026-02-10,6200.0,6500.0,5975.0,6050.0,19062600
2026-02-11,6300.0,6575.0,6225.0,6350.0,15718700
2026-02-12,6375.0,6600.0,6225.0,6325.0,16672000
2026-02-13,6350.0,6450.0,6275.0,6325.0,5673000
2026-02-18,6350.0,6500.0,6275.0,6425.0,4968000
2026-02-19,6150.0,6375.0,6150.0,6350.0,6456800
2026-02-20,6100.0,6225.0,6025.0,6200.0,3113400
2026-02-23,6050.0,6150.0,6000.0,6100.0,3756300
2026-02-24,5900.0,6100.0,5800.0,6050.0,8667800
2026-02-25,5850.0,6025.0,5775.0,5900.0,5184500
2026-02-26,5650.0,5900.0,5600.0,5850.0,3944000
