Date,Close,High,Low,Open,Volume
2025-11-10,139.0,140.0,136.0,136.0,4983700
2025-11-11,136.0,139.0,136.0,139.0,4945100
2025-11-12,136.0,140.0,136.0,140.0,5499900
2025-11-13,138.0,140.0,138.0,138.0,4121800
2025-11-14,149.0,149.0,140.0,141.0,13595900
2025-11-17,157.0,160.0,157.0,160.0,14529300
2025-11-18,150.0,150.0,149.0,149.0,34070300
2025-11-19,152.0,158.0,150.0,158.0,102843100
2025-11-20,155.0,156.0,153.0,156.0,19304800
2025-11-21,158.0,159.0,157.0,159.0,14748300
2025-11-24,169.0,169.0,162.0,162.0,16215600
2025-11-25,180.0,180.0,171.0,176.0,37246600
2025-11-26,198.0,198.0,198.0,198.0,24205000
2025-11-27,198.0,208.0,198.0,208.0,43999300
2025-11-28,266.0,266.0,175.0,200.0,549267300
2025-12-01,310.0,324.0,274.0,292.0,535902000
2025-12-02,310.0,310.0,310.0,310.0,0
2025-12-03,360.0,366.0,292.0,332.0,354876900
2025-12-04,360.0,360.0,360.0,360.0,0
2025-12-05,360.0,360.0,360.0,360.0,0
2025-12-08,360.0,360.0,360.0,360.0,0
2025-12-09,360.0,360.0,360.0,360.0,0
2025-12-10,360.0,360.0,360.0,360.0,0
2025-12-11,360.0,360.0,360.0,360.0,0
2025-12-12,360.0,360.0,360.0,360.0,0
2025-12-15,360.0,360.0,360.0,360.0,0
2025-12-16,324.0,324.0,324.0,324.0,36776900
2025-12-17,292.0,324.0,292.0,322.0,66799200
2025-12-18,300.0,304.0,292.0,304.0,33891800
2025-12-19,270.0,300.0,270.0,300.0,16923900
2025-12-22,270.0,270.0,254.0,254.0,35993200
2025-12-23,256.0,268.0,256.0,268.0,13864900
2025-12-24,270.0,272.0,250.0,250.0,14322500
2025-12-29,320.0,326.0,260.0,288.0,128164200
2025-12-30,310.0,350.0,300.0,328.0,91397000
2026-01-02,320.0,330.0,312.0,314.0,58445900
2026-01-05,332.0,356.0,312.0,330.0,129845900
2026-01-06,332.0,352.0,318.0,334.0,91929600
2026-01-07,320.0,344.0,316.0,342.0,43865100
2026-01-08,306.0,332.0,274.0,316.0,37471600
2026-01-09,326.0,340.0,290.0,310.0,133261900
2026-01-12,308.0,344.0,296.0,330.0,110886500
2026-01-13,280.0,316.0,280.0,310.0,75110700
2026-01-14,312.0,322.0,290.0,290.0,80295200
2026-01-15,322.0,382.0,312.0,314.0,553694100
2026-01-19,312.0,320.0,302.0,306.0,94600700
2026-01-20,322.0,334.0,296.0,308.0,138657300
2026-01-21,402.0,402.0,324.0,324.0,805715200
2026-01-22,384.0,438.0,374.0,408.0,714937500
2026-01-23,354.0,400.0,338.0,400.0,128611700
2026-01-26,306.0,378.0,302.0,360.0,164755200
2026-01-27,346.0,348.0,284.0,298.0,132052500
2026-01-28,296.0,322.0,296.0,296.0,159531000
2026-01-29,278.0,304.0,252.0,284.0,139409800
2026-01-30,268.0,304.0,258.0,288.0,85587900
2026-02-02,228.0,268.0,228.0,268.0,79747300
2026-02-03,250.0,250.0,194.0,194.0,115959400
2026-02-04,228.0,242.0,216.0,220.0,97977200
2026-02-05,222.0,258.0,220.0,230.0,72312600
2026-02-06,200.0,224.0,191.0,218.0,84026700
2026-02-09,208.0,220.0,196.0,202.0,48828600
