Date,Close,High,Low,Open,Volume
2025-11-25,1255.0,1370.0,1245.0,1335.0,421288200
2025-11-26,1270.0,1275.0,1235.0,1255.0,124025900
2025-11-27,1265.0,1325.0,1250.0,1285.0,202247900
2025-11-28,1225.0,1275.0,1225.0,1265.0,95412900
2025-12-01,1210.0,1230.0,1200.0,1215.0,59266700
2025-12-02,1295.0,1305.0,1220.0,1230.0,231518100
2025-12-03,1290.0,1330.0,1280.0,1305.0,165720000
2025-12-04,1290.0,1315.0,1285.0,1305.0,57700400
2025-12-05,1345.0,1360.0,1290.0,1290.0,233707200
2025-12-08,1315.0,1370.0,1305.0,1370.0,137432400
2025-12-09,1335.0,1340.0,1300.0,1315.0,103931200
2025-12-10,1420.0,1435.0,1315.0,1340.0,448331500
2025-12-11,1375.0,1480.0,1350.0,1445.0,405084300
2025-12-12,1355.0,1405.0,1325.0,1400.0,154530400
2025-12-15,1350.0,1380.0,1320.0,1370.0,83136500
2025-12-16,1470.0,1470.0,1360.0,1370.0,361183100
2025-12-17,1335.0,1500.0,1335.0,1480.0,394233200
2025-12-18,1235.0,1380.0,1225.0,1350.0,219938100
2025-12-19,1225.0,1255.0,1200.0,1240.0,135570000
2025-12-22,1140.0,1230.0,1140.0,1225.0,168830400
2025-12-23,1110.0,1160.0,1110.0,1140.0,104937800
2025-12-24,1085.0,1135.0,1080.0,1115.0,84930000
2025-12-29,1115.0,1130.0,1090.0,1095.0,50097000
2025-12-30,1085.0,1120.0,1085.0,1115.0,61981200
2026-01-02,1100.0,1105.0,1080.0,1100.0,60691000
2026-01-05,1075.0,1115.0,1060.0,1105.0,83847600
2026-01-06,1125.0,1135.0,1075.0,1075.0,131699800
2026-01-07,1160.0,1210.0,1135.0,1150.0,193106100
2026-01-08,1150.0,1210.0,1150.0,1185.0,106776200
2026-01-09,1140.0,1185.0,1135.0,1165.0,63809800
2026-01-12,1065.0,1135.0,1055.0,1135.0,122897200
2026-01-13,1015.0,1095.0,1015.0,1070.0,87268000
2026-01-14,1045.0,1045.0,1010.0,1015.0,74793300
2026-01-15,1050.0,1075.0,1035.0,1050.0,66492700
2026-01-19,1035.0,1065.0,1020.0,1065.0,65533600
2026-01-20,1040.0,1075.0,1035.0,1040.0,65348400
2026-01-21,1075.0,1075.0,1025.0,1045.0,67109600
2026-01-22,1045.0,1100.0,1045.0,1085.0,74163300
2026-01-23,1035.0,1060.0,1025.0,1050.0,42110600
2026-01-26,1010.0,1055.0,1005.0,1040.0,63680600
2026-01-27,1040.0,1055.0,1020.0,1025.0,41146300
2026-01-28,885.0,1020.0,885.0,1020.0,168469200
2026-01-29,855.0,885.0,755.0,845.0,206258500
2026-01-30,975.0,975.0,855.0,870.0,99785700
2026-02-02,830.0,950.0,830.0,950.0,91039700
2026-02-03,875.0,880.0,780.0,830.0,93792200
2026-02-04,890.0,890.0,855.0,875.0,48999000
2026-02-05,910.0,930.0,885.0,890.0,63190800
2026-02-06,855.0,895.0,850.0,880.0,49977800
2026-02-09,855.0,880.0,835.0,855.0,30037400
2026-02-10,895.0,900.0,855.0,855.0,43865000
2026-02-11,925.0,925.0,895.0,900.0,52533300
2026-02-12,925.0,935.0,905.0,925.0,51990400
2026-02-13,925.0,940.0,905.0,920.0,28178100
2026-02-18,980.0,990.0,920.0,930.0,100309500
2026-02-19,990.0,1025.0,985.0,990.0,69834300
2026-02-20,970.0,1000.0,960.0,995.0,26610700
2026-02-23,990.0,990.0,975.0,975.0,23526200
2026-02-24,925.0,995.0,920.0,990.0,57112500
2026-02-25,920.0,945.0,910.0,935.0,32681700
