Date,Close,High,Low,Open,Volume
2025-11-06,96000.0,96500.0,88200.0,88200.0,2143900
2025-11-07,100000.0,101000.0,94600.0,96300.0,2231500
2025-11-10,88000.0,100000.0,87850.0,100000.0,2572800
2025-11-11,87250.0,89000.0,86025.0,88300.0,2494300
2025-11-12,86500.0,89225.0,86000.0,87700.0,2293800
2025-11-13,87975.0,89000.0,86900.0,86900.0,2011000
2025-11-14,91200.0,93125.0,88400.0,88400.0,2250900
2025-11-17,97200.0,98000.0,91050.0,91600.0,2091900
2025-11-18,98750.0,98750.0,96200.0,97800.0,2305600
2025-11-19,98625.0,101500.0,98625.0,99300.0,2063500
2025-11-20,99500.0,102800.0,99300.0,100000.0,2010900
2025-11-21,100000.0,102000.0,97250.0,99500.0,1777400
2025-11-24,105700.0,105700.0,98800.0,100550.0,9373400
2025-11-25,107200.0,107200.0,102500.0,102650.0,2160600
2025-11-26,111000.0,111800.0,108000.0,108500.0,2094700
2025-11-27,107450.0,111500.0,107150.0,111050.0,842800
2025-11-28,109950.0,110700.0,108675.0,110250.0,950400
2025-12-01,112800.0,113600.0,108175.0,109950.0,1930100
2025-12-02,115500.0,115500.0,113000.0,114900.0,2159000
2025-12-03,111925.0,117525.0,111925.0,115975.0,1514600
2025-12-04,113875.0,115350.0,112550.0,113800.0,1416200
2025-12-05,102075.0,115000.0,102025.0,115000.0,2598700
2025-12-08,109450.0,110000.0,102000.0,102000.0,2148700
2025-12-09,108875.0,111000.0,107150.0,111000.0,1645000
2025-12-10,109500.0,111000.0,105000.0,111000.0,2058000
2025-12-11,109600.0,111100.0,107500.0,111100.0,1365200
2025-12-12,106250.0,109350.0,103900.0,109100.0,2208000
2025-12-15,100850.0,108500.0,100850.0,107050.0,1411400
2025-12-16,107000.0,107750.0,102000.0,105500.0,2731100
2025-12-17,106300.0,107975.0,105500.0,107000.0,1848000
2025-12-18,105600.0,109000.0,105400.0,107500.0,2046900
2025-12-19,109125.0,110125.0,104800.0,104800.0,14893100
2025-12-22,110400.0,111000.0,108775.0,109125.0,1859900
2025-12-23,105125.0,111250.0,105125.0,110775.0,873300
2025-12-24,104100.0,106225.0,100600.0,106000.0,2009300
2025-12-29,101200.0,104100.0,99700.0,104100.0,1646000
2025-12-30,101000.0,101200.0,99275.0,101200.0,1717700
2026-01-02,98450.0,101200.0,97000.0,101000.0,2165400
2026-01-05,97100.0,99500.0,92925.0,99500.0,2533300
2026-01-06,95675.0,97925.0,94000.0,96900.0,1345500
2026-01-07,100575.0,101500.0,94550.0,95725.0,2778900
2026-01-08,103175.0,106475.0,100850.0,100850.0,2100400
2026-01-09,103225.0,105425.0,102500.0,104000.0,2095300
2026-01-12,103425.0,104450.0,100675.0,103250.0,2069000
2026-01-13,105000.0,105000.0,101925.0,103425.0,1579800
2026-01-14,107975.0,110375.0,104100.0,105000.0,1649200
2026-01-15,111000.0,112000.0,108050.0,108050.0,2007700
2026-01-19,114075.0,114700.0,111000.0,111000.0,1364700
2026-01-20,102000.0,114125.0,102000.0,114075.0,1477700
2026-01-21,105050.0,109000.0,102925.0,104500.0,2459800
2026-01-22,105700.0,110000.0,105500.0,105500.0,2142700
2026-01-23,104500.0,108000.0,103000.0,107000.0,2009300
2026-01-26,110600.0,110600.0,104500.0,104500.0,2226500
2026-01-27,116000.0,116000.0,110600.0,110600.0,2737300
2026-01-28,98600.0,101925.0,98600.0,98600.0,2498100
2026-01-29,94000.0,97025.0,83825.0,83850.0,4949200
2026-01-30,99000.0,101150.0,92025.0,99700.0,2560000
2026-02-02,86700.0,98700.0,84150.0,98700.0,3304200
2026-02-03,90000.0,90250.0,83825.0,85000.0,1190300
2026-02-04,90400.0,91000.0,86550.0,90050.0,904500
2026-02-05,88000.0,92950.0,88000.0,90400.0,681600
2026-02-06,85375.0,88700.0,85000.0,87900.0,555000
