Date,Close,High,Low,Open,Volume
2025-11-25,65.0,66.0,64.0,66.0,2198091500
2025-11-26,65.0,66.0,64.0,65.0,1781677400
2025-11-27,65.0,66.0,63.0,64.0,2847805200
2025-11-28,64.0,66.0,64.0,65.0,2270637900
2025-12-01,67.0,67.0,64.0,64.0,4333478300
2025-12-02,65.0,67.0,64.0,67.0,4418422800
2025-12-03,64.0,66.0,64.0,65.0,1956436600
2025-12-04,64.0,65.0,64.0,64.0,1341546300
2025-12-05,64.0,65.0,63.0,64.0,1794410100
2025-12-08,70.0,71.0,65.0,65.0,13380124800
2025-12-09,71.0,73.0,69.0,72.0,6529828600
2025-12-10,70.0,72.0,69.0,72.0,3321535800
2025-12-11,68.0,70.0,68.0,70.0,3956062600
2025-12-12,66.0,69.0,65.0,69.0,6017508700
2025-12-15,65.0,66.0,64.0,66.0,4882787900
2025-12-16,68.0,69.0,64.0,65.0,7444003400
2025-12-17,66.0,68.0,65.0,68.0,2632440600
2025-12-18,65.0,67.0,65.0,65.0,2169076500
2025-12-19,65.0,66.0,64.0,65.0,4051737900
2025-12-22,64.0,66.0,64.0,65.0,2113323700
2025-12-23,64.0,65.0,63.0,65.0,2589105200
2025-12-24,65.0,65.0,63.0,64.0,1422798300
2025-12-29,64.0,65.0,64.0,65.0,3075824400
2025-12-30,64.0,65.0,64.0,64.0,2456893000
2026-01-02,69.0,69.0,63.0,64.0,7020202800
2026-01-05,68.0,71.0,67.0,69.0,8987343900
2026-01-06,68.0,70.0,67.0,68.0,3387609800
2026-01-07,67.0,69.0,66.0,68.0,4281637900
2026-01-08,66.0,67.0,65.0,67.0,2604022900
2026-01-09,66.0,67.0,65.0,66.0,3299187600
2026-01-12,66.0,67.0,65.0,67.0,3384389300
2026-01-13,67.0,68.0,65.0,66.0,3132891700
2026-01-14,69.0,73.0,68.0,68.0,18437372600
2026-01-15,68.0,70.0,67.0,69.0,5561512700
2026-01-19,66.0,68.0,65.0,67.0,7028239800
2026-01-20,66.0,68.0,65.0,66.0,5220116600
2026-01-21,64.0,66.0,64.0,65.0,7269276700
2026-01-22,62.0,65.0,61.0,64.0,8304665000
2026-01-23,60.0,62.0,58.0,62.0,8845549400
2026-01-26,60.0,62.0,59.0,60.0,4896210800
2026-01-27,65.0,65.0,58.0,60.0,12307760600
2026-01-28,60.0,64.0,58.0,62.0,10963550000
2026-01-29,63.0,63.0,55.0,60.0,15220468500
2026-01-30,64.0,64.0,62.0,63.0,4190742000
2026-02-02,61.0,64.0,60.0,64.0,4681091200
2026-02-03,62.0,63.0,61.0,61.0,2063709800
2026-02-04,62.0,63.0,61.0,62.0,2039789700
2026-02-05,60.0,62.0,60.0,62.0,2841007700
2026-02-06,60.0,60.0,58.0,60.0,2643183600
2026-02-09,60.0,61.0,59.0,60.0,1596488300
2026-02-10,59.0,60.0,58.0,60.0,4569551300
2026-02-11,60.0,61.0,59.0,60.0,3907787700
2026-02-12,60.0,60.0,59.0,60.0,1419829400
2026-02-13,59.0,61.0,59.0,60.0,4200024900
2026-02-18,60.0,61.0,58.0,59.0,4716637100
2026-02-19,61.0,61.0,59.0,60.0,2247439900
2026-02-20,61.0,63.0,61.0,61.0,5194005200
2026-02-23,62.0,64.0,61.0,62.0,5794546700
2026-02-24,61.0,63.0,60.0,63.0,3555906000
2026-02-25,60.0,62.0,60.0,61.0,1364624900
