Date,Close,High,Low,Open,Volume
2025-11-25,66.0,67.0,64.0,64.0,233798500
2025-11-26,65.0,67.0,64.0,67.0,164749600
2025-11-27,64.0,66.0,64.0,65.0,120304600
2025-11-28,65.0,65.0,63.0,64.0,155179600
2025-12-01,64.0,66.0,63.0,66.0,205718300
2025-12-02,61.0,64.0,61.0,64.0,435598000
2025-12-03,62.0,63.0,60.0,61.0,221706600
2025-12-04,64.0,67.0,62.0,63.0,637543400
2025-12-05,63.0,64.0,62.0,64.0,191888000
2025-12-08,63.0,64.0,62.0,63.0,141616500
2025-12-09,62.0,63.0,61.0,63.0,191199200
2025-12-10,61.0,63.0,61.0,63.0,110863500
2025-12-11,61.0,64.0,61.0,61.0,228834500
2025-12-12,61.0,62.0,60.0,62.0,197980600
2025-12-15,61.0,63.0,60.0,61.0,216058300
2025-12-16,63.0,64.0,62.0,62.0,172013700
2025-12-17,63.0,65.0,62.0,64.0,149853100
2025-12-18,62.0,64.0,62.0,64.0,121021700
2025-12-19,62.0,63.0,61.0,63.0,85623800
2025-12-22,61.0,63.0,61.0,62.0,94645200
2025-12-23,61.0,62.0,60.0,62.0,101615900
2025-12-24,61.0,62.0,60.0,62.0,118650600
2025-12-29,62.0,63.0,61.0,61.0,168262400
2025-12-30,63.0,64.0,61.0,62.0,175509200
2026-01-02,66.0,67.0,62.0,63.0,383489300
2026-01-05,86.0,88.0,65.0,66.0,4386756700
2026-01-06,74.0,87.0,74.0,86.0,3677233800
2026-01-07,72.0,80.0,68.0,70.0,3211360000
2026-01-08,73.0,76.0,72.0,73.0,500022100
2026-01-09,72.0,75.0,70.0,74.0,556694500
2026-01-12,70.0,74.0,69.0,73.0,627076700
2026-01-13,72.0,73.0,69.0,70.0,370723800
2026-01-14,75.0,78.0,71.0,72.0,990402200
2026-01-15,73.0,75.0,72.0,75.0,339790600
2026-01-19,76.0,77.0,72.0,73.0,716254400
2026-01-20,76.0,82.0,75.0,77.0,1333240800
2026-01-21,74.0,76.0,73.0,76.0,385296200
2026-01-22,73.0,75.0,72.0,74.0,219624800
2026-01-23,71.0,74.0,68.0,73.0,608316800
2026-01-26,71.0,73.0,71.0,72.0,211546600
2026-01-27,72.0,73.0,70.0,71.0,133881900
2026-01-28,66.0,71.0,64.0,70.0,767251000
2026-01-29,65.0,67.0,57.0,65.0,677347800
2026-01-30,65.0,68.0,64.0,67.0,291685700
2026-02-02,62.0,67.0,61.0,66.0,301513800
2026-02-03,65.0,67.0,62.0,63.0,307636300
2026-02-04,65.0,66.0,64.0,66.0,82929700
2026-02-05,65.0,66.0,64.0,65.0,95646900
2026-02-06,63.0,64.0,62.0,64.0,138449800
2026-02-09,62.0,64.0,61.0,63.0,141330200
2026-02-10,64.0,64.0,62.0,62.0,104224600
2026-02-11,66.0,67.0,63.0,64.0,176536800
2026-02-12,66.0,67.0,64.0,67.0,117003400
2026-02-13,65.0,66.0,64.0,65.0,83310100
2026-02-18,66.0,66.0,64.0,65.0,85372500
2026-02-19,65.0,66.0,65.0,66.0,69770300
2026-02-20,65.0,66.0,64.0,65.0,49842600
2026-02-23,66.0,67.0,64.0,65.0,188440400
2026-02-24,65.0,70.0,65.0,66.0,494595100
2026-02-25,65.0,67.0,64.0,65.0,184902100
