Date,Close,High,Low,Open,Volume
2025-12-10,1170.0,1190.0,1165.0,1165.0,25166700
2025-12-11,1160.0,1195.0,1150.0,1175.0,28610600
2025-12-12,1165.0,1175.0,1150.0,1175.0,17277400
2025-12-15,1165.0,1195.0,1160.0,1160.0,25563000
2025-12-16,1180.0,1180.0,1160.0,1170.0,13147400
2025-12-17,1155.0,1185.0,1150.0,1180.0,28648100
2025-12-18,1140.0,1165.0,1140.0,1165.0,20745600
2025-12-19,1125.0,1150.0,1120.0,1145.0,18505300
2025-12-22,1115.0,1130.0,1110.0,1125.0,14665700
2025-12-23,1110.0,1120.0,1105.0,1115.0,15044400
2025-12-24,1085.0,1120.0,1080.0,1115.0,30482500
2025-12-29,1115.0,1125.0,1080.0,1085.0,25331600
2025-12-30,1125.0,1145.0,1115.0,1120.0,21973200
2026-01-02,1130.0,1140.0,1125.0,1130.0,16324700
2026-01-05,1160.0,1170.0,1115.0,1135.0,34257800
2026-01-06,1175.0,1195.0,1150.0,1170.0,40593400
2026-01-07,1200.0,1215.0,1170.0,1175.0,51006800
2026-01-08,1180.0,1240.0,1180.0,1200.0,70696700
2026-01-09,1195.0,1200.0,1170.0,1180.0,26646200
2026-01-12,1165.0,1210.0,1145.0,1200.0,37246200
2026-01-13,1270.0,1270.0,1175.0,1175.0,172765700
2026-01-14,1260.0,1290.0,1230.0,1290.0,111186900
2026-01-15,1300.0,1300.0,1235.0,1255.0,75452600
2026-01-19,1275.0,1305.0,1270.0,1300.0,47974000
2026-01-20,1260.0,1295.0,1260.0,1275.0,39836600
2026-01-21,1230.0,1260.0,1225.0,1260.0,32745100
2026-01-22,1230.0,1260.0,1220.0,1240.0,24158200
2026-01-23,1205.0,1240.0,1180.0,1235.0,43365200
2026-01-26,1245.0,1255.0,1205.0,1205.0,49794200
2026-01-27,1245.0,1280.0,1240.0,1250.0,64826800
2026-01-28,1130.0,1235.0,1105.0,1230.0,75864800
2026-01-29,1030.0,1115.0,965.0,1115.0,187681600
2026-01-30,1115.0,1115.0,1045.0,1050.0,62134200
2026-02-02,1120.0,1150.0,1060.0,1140.0,53237300
2026-02-03,1120.0,1135.0,1075.0,1120.0,26519800
2026-02-04,1120.0,1125.0,1100.0,1120.0,18251400
2026-02-05,1140.0,1150.0,1120.0,1120.0,19317700
2026-02-06,1125.0,1130.0,1100.0,1115.0,19178100
2026-02-09,1125.0,1135.0,1085.0,1130.0,22078000
2026-02-10,1140.0,1140.0,1110.0,1125.0,15322300
2026-02-11,1190.0,1205.0,1145.0,1145.0,99001100
2026-02-12,1205.0,1215.0,1185.0,1200.0,38112700
2026-02-13,1180.0,1205.0,1170.0,1185.0,20438700
2026-02-18,1160.0,1165.0,1130.0,1160.0,30642000
2026-02-19,1155.0,1175.0,1150.0,1170.0,15581900
2026-02-20,1140.0,1165.0,1140.0,1160.0,10673800
2026-02-23,1145.0,1150.0,1135.0,1140.0,14109800
2026-02-24,1110.0,1145.0,1110.0,1145.0,29122400
2026-02-25,1115.0,1120.0,1105.0,1120.0,13091700
2026-02-26,1100.0,1130.0,1100.0,1120.0,13021400
2026-02-27,1085.0,1105.0,1080.0,1100.0,15976800
2026-03-02,1090.0,1110.0,1050.0,1085.0,31257100
2026-03-03,1090.0,1125.0,1085.0,1090.0,22036400
2026-03-04,1040.0,1080.0,1025.0,1060.0,32274900
2026-03-05,1040.0,1060.0,1030.0,1045.0,9509900
2026-03-06,1025.0,1040.0,1010.0,1035.0,10684900
2026-03-09,975.0,1015.0,975.0,1015.0,31033000
2026-03-10,1000.0,1010.0,985.0,985.0,11652200
