Date,Close,High,Low,Open,Volume
2025-12-12,1640.0,1845.0,1625.0,1825.0,11628500
2025-12-15,1540.0,1740.0,1540.0,1620.0,7283400
2025-12-16,1460.0,1595.0,1420.0,1595.0,8505200
2025-12-17,1430.0,1560.0,1425.0,1500.0,13065500
2025-12-18,1520.0,1620.0,1430.0,1430.0,13054700
2025-12-19,1460.0,1535.0,1435.0,1535.0,3460700
2025-12-22,1615.0,1640.0,1410.0,1455.0,7478600
2025-12-23,1530.0,1630.0,1500.0,1610.0,4383200
2025-12-24,1510.0,1545.0,1470.0,1530.0,1906900
2025-12-29,1505.0,1515.0,1470.0,1515.0,1430200
2025-12-30,1500.0,1545.0,1475.0,1505.0,4528500
2026-01-02,1550.0,1580.0,1490.0,1500.0,2470700
2026-01-05,1610.0,1675.0,1505.0,1570.0,22518400
2026-01-06,1575.0,1640.0,1555.0,1625.0,6248000
2026-01-07,1655.0,1680.0,1550.0,1575.0,9969600
2026-01-08,2060.0,2060.0,1610.0,1645.0,42308600
2026-01-09,2150.0,2340.0,2000.0,2130.0,36159400
2026-01-12,1895.0,2480.0,1845.0,2180.0,52633300
2026-01-13,1830.0,2080.0,1805.0,1955.0,20302000
2026-01-14,1940.0,1975.0,1830.0,1830.0,8254000
2026-01-15,2150.0,2180.0,1940.0,2010.0,29970600
2026-01-19,2500.0,2620.0,2200.0,2200.0,40687100
2026-01-20,2450.0,2750.0,2380.0,2660.0,35613700
2026-01-21,2690.0,2720.0,2350.0,2480.0,24081300
2026-01-22,2690.0,2690.0,2690.0,2690.0,0
2026-01-23,2440.0,2750.0,2290.0,2700.0,33121700
2026-01-26,2330.0,2600.0,2260.0,2440.0,18384400
2026-01-27,2360.0,2460.0,2260.0,2270.0,14502500
2026-01-28,2010.0,2080.0,2010.0,2010.0,25849600
2026-01-29,1815.0,1905.0,1710.0,1710.0,24320400
2026-01-30,1560.0,1880.0,1545.0,1815.0,29253600
2026-02-02,1500.0,1500.0,1330.0,1355.0,31478800
2026-02-03,1615.0,1640.0,1300.0,1460.0,11865400
2026-02-04,1505.0,1650.0,1415.0,1640.0,7382500
2026-02-05,1495.0,1600.0,1480.0,1515.0,3544300
2026-02-06,1315.0,1485.0,1300.0,1445.0,5687700
2026-02-09,1420.0,1420.0,1220.0,1300.0,2837400
2026-02-10,1425.0,1465.0,1400.0,1415.0,3159400
2026-02-11,1490.0,1490.0,1380.0,1425.0,3637200
2026-02-12,1480.0,1585.0,1470.0,1500.0,3061900
2026-02-13,1450.0,1480.0,1415.0,1480.0,1840500
2026-02-18,1430.0,1480.0,1400.0,1450.0,2932200
2026-02-19,1400.0,1450.0,1380.0,1450.0,3176800
2026-02-20,1385.0,1435.0,1350.0,1425.0,2702100
2026-02-23,1350.0,1415.0,1310.0,1400.0,4636200
2026-02-24,1325.0,1405.0,1320.0,1355.0,2973000
2026-02-25,1325.0,1350.0,1300.0,1300.0,3860300
2026-02-26,1275.0,1350.0,1200.0,1325.0,4267600
2026-02-27,1305.0,1325.0,1190.0,1205.0,9217500
2026-03-02,1275.0,1275.0,1155.0,1200.0,3574200
2026-03-03,1330.0,1345.0,1205.0,1280.0,4007600
2026-03-04,1230.0,1305.0,1220.0,1260.0,3282900
2026-03-05,1290.0,1295.0,1225.0,1250.0,3161800
2026-03-06,1250.0,1290.0,1205.0,1290.0,1828900
2026-03-09,1165.0,1200.0,1070.0,1070.0,3679600
2026-03-10,1220.0,1240.0,1165.0,1165.0,2353400
2026-03-11,1230.0,1275.0,1210.0,1220.0,4371500
2026-03-12,1235.0,1245.0,1170.0,1245.0,1463000
