Date,Close,High,Low,Open,Volume
2025-12-09,6850.0,7000.0,6850.0,6975.0,12610800
2025-12-10,6900.0,6950.0,6900.0,6900.0,3688400
2025-12-11,6575.0,6950.0,6550.0,6900.0,35995900
2025-12-12,6775.0,6775.0,6625.0,6650.0,6481400
2025-12-15,6775.0,6850.0,6700.0,6825.0,6213700
2025-12-16,6775.0,6825.0,6750.0,6800.0,5528400
2025-12-17,6775.0,6875.0,6775.0,6800.0,6792100
2025-12-18,6875.0,6900.0,6775.0,6900.0,9005600
2025-12-19,6750.0,6925.0,6750.0,6875.0,12787800
2025-12-22,6850.0,6850.0,6775.0,6775.0,3858800
2025-12-23,6800.0,6825.0,6750.0,6800.0,2079500
2025-12-24,6800.0,6850.0,6775.0,6775.0,1566700
2025-12-29,6775.0,6875.0,6750.0,6800.0,3540900
2025-12-30,6775.0,6875.0,6775.0,6800.0,4210100
2026-01-02,6675.0,6800.0,6650.0,6775.0,7568100
2026-01-05,6850.0,6850.0,6625.0,6675.0,9359300
2026-01-06,7000.0,7000.0,6825.0,6850.0,12215300
2026-01-07,6725.0,7000.0,6700.0,7000.0,16067800
2026-01-08,6625.0,6775.0,6625.0,6750.0,25370300
2026-01-09,6600.0,6700.0,6575.0,6625.0,13134000
2026-01-12,6600.0,6675.0,6575.0,6600.0,11215000
2026-01-13,6700.0,6700.0,6600.0,6600.0,7063700
2026-01-14,6725.0,6750.0,6650.0,6700.0,9495000
2026-01-15,6750.0,6800.0,6700.0,6700.0,6184100
2026-01-19,6825.0,6825.0,6725.0,6750.0,10624000
2026-01-20,6700.0,6825.0,6700.0,6775.0,12443600
2026-01-21,6700.0,6750.0,6600.0,6700.0,11404500
2026-01-22,6750.0,6800.0,6700.0,6700.0,8856900
2026-01-23,6825.0,6825.0,6725.0,6800.0,7862000
2026-01-26,6800.0,6825.0,6750.0,6825.0,9878400
2026-01-27,6700.0,6800.0,6700.0,6800.0,17356900
2026-01-28,6850.0,6850.0,6625.0,6750.0,29694200
2026-01-29,6775.0,6850.0,6200.0,6800.0,38464300
2026-01-30,6800.0,6850.0,6750.0,6775.0,15374100
2026-02-02,7025.0,7025.0,6725.0,6825.0,17102800
2026-02-03,7200.0,7275.0,6950.0,7025.0,18698500
2026-02-04,7050.0,7200.0,7000.0,7175.0,13541400
2026-02-05,7000.0,7150.0,7000.0,7050.0,10782800
2026-02-06,6850.0,7000.0,6850.0,6975.0,10579300
2026-02-09,6825.0,6900.0,6800.0,6900.0,8702900
2026-02-10,6900.0,7000.0,6825.0,6875.0,8380100
2026-02-11,6700.0,6800.0,6700.0,6700.0,44043400
2026-02-12,6775.0,6800.0,6700.0,6725.0,13363300
2026-02-13,6675.0,6775.0,6675.0,6750.0,13926900
2026-02-18,6750.0,6775.0,6675.0,6700.0,7616100
2026-02-19,6725.0,6825.0,6725.0,6750.0,11967400
2026-02-20,6650.0,6750.0,6650.0,6700.0,14729900
2026-02-23,6650.0,6700.0,6650.0,6650.0,18992200
2026-02-24,6600.0,6700.0,6600.0,6675.0,26059800
2026-02-25,6575.0,6675.0,6550.0,6550.0,25622600
2026-02-26,6725.0,6725.0,6575.0,6600.0,24736800
2026-02-27,6450.0,6700.0,6450.0,6600.0,290204300
2026-03-02,6400.0,6525.0,6350.0,6400.0,44951600
2026-03-03,6400.0,6500.0,6375.0,6450.0,18791500
2026-03-04,6125.0,6425.0,6125.0,6400.0,43486700
2026-03-05,6225.0,6300.0,6125.0,6200.0,17643600
2026-03-06,6275.0,6350.0,6200.0,6300.0,25222700
2026-03-09,6050.0,6150.0,6025.0,6125.0,18757800
